Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
APA,,12,58.30%,3.7,4.5,2.3,3.8,9.9,473,56.10%,30.7,769,1.41,0.51,0.3,0.16,308,3,336,8.30%,8.30%,1,1
Berserker,,8,25%,5.2,2.8,1.3,3.8,9.9,427,66.50%,29.2,631,1.04,0.43,0.27,0.13,32,4,-384,25%,12.50%,0,1
Blaber,,8,25%,1.8,1.4,3.5,5,6.3,326,64.30%,15.5,346,1.68,0.49,0.34,0.25,34,7,268,25%,0%,0,1
Busio,,20,70%,5.2,0.6,2.2,10.6,1,240,70.70%,6.8,169,3.45,1.84,0.41,0.41,-177,1,-39,30%,10%,0,-
Bwipo,,20,70%,2.8,3.7,3.4,5.9,8,405,58.90%,20.9,523,1.17,0.42,0.27,0.19,256,12,128,15%,25%,0,5
Contractz,,9,33.30%,4.5,3.1,2.4,7.8,6.2,346,71.60%,16.8,433,1.36,0.32,0.29,0.2,308,-3,-89,33.30%,0%,0,1
CoreJJ,,12,58.30%,4.2,1,2.6,9.8,1.1,267,75.60%,7.9,204,3.72,1.73,0.53,0.44,281,0,56,33.30%,0%,0,-
Dhokla,,9,33.30%,2.1,2.8,4,5.4,6.5,344,56.40%,18.6,491,0.98,0.33,0.21,0.13,-242,-10,-434,22.20%,33.30%,0,2
Eyla,,18,50%,3,0.6,3.2,8.8,1.5,256,75.60%,7.4,172,3.43,1.64,0.51,0.44,76,6,-99,38.90%,5.60%,0,-
FBI,,9,33.30%,3.5,4.4,2.9,5.7,9.1,421,67.40%,30,792,0.98,0.38,0.18,0.15,-2,5,272,22.20%,0%,0,1
Huhi,,9,33.30%,2.6,0.7,4.3,10.7,1.1,245,75.30%,6.1,162,4.21,2.38,0.48,0.6,-107,0,-40,44.40%,0%,0,-
Impact,,12,58.30%,2.9,3.1,2.9,5.4,7,378,57.90%,20.1,514,1.01,0.36,0.16,0.12,388,0,457,33.30%,0%,0,8
Inspired,,20,70%,7.1,2,1.7,10.1,6.1,345,77.50%,12.7,310,1.26,0.26,0.29,0.16,37,4,140,40%,0%,0,-
Isles,,13,38.50%,1.9,0.8,4.7,7.9,1.2,253,73%,9.8,230,3.39,1.72,0.54,0.37,-4,-6,134,23.10%,38.50%,0,-
Jensen,,13,38.50%,2.7,3.2,3,4.8,9.4,410,72.60%,26.5,669,0.98,0.33,0.23,0.08,-542,-7,-285,0%,15.40%,0,2
Licorice,,13,38.50%,2.1,2.6,3.3,4.4,7.1,352,50%,20.3,493,0.95,0.38,0.15,0.13,-118,1,158,0%,7.70%,0,4
Massu,,20,70%,10.1,4.5,1.2,7.2,9.1,436,73.40%,26.8,673,1.12,0.36,0.29,0.13,-72,-4,106,30%,10%,0,4
Palafox,,9,33.30%,4.3,4.3,2.6,6.8,8.9,432,71.70%,28.5,723,1.4,0.5,0.29,0.19,135,1,-27,22.20%,11.10%,0,2
Quad,,20,70%,6.8,5.2,1.7,6.4,9.2,444,71.40%,32.9,830,1.14,0.46,0.23,0.17,39,0,-47,30%,5%,1,3
Quid,,18,50%,3.6,4.1,2.3,4.1,9.9,456,62.80%,29,730,1.29,0.4,0.29,0.18,19,-3,-133,16.70%,11.10%,0,7
River,,18,50%,3.2,2.4,3.1,7.2,6.1,350,80.20%,17.1,426,1.38,0.41,0.27,0.27,354,1,84,33.30%,16.70%,0,3
Sniper,,18,50%,1.7,2.2,3.3,3.3,6.8,346,41.30%,15.9,399,0.84,0.35,0.14,0.13,-400,-10,-521,11.10%,0%,0,4
Spica,,13,38.50%,2.8,1.3,3.2,7.5,6.1,326,75.80%,16.1,394,1.5,0.38,0.36,0.24,-597,1,-62,7.70%,7.70%,0,1
Thanatos,,8,25%,2.2,1.8,2.5,3.8,7.7,361,56.60%,17.9,398,1.2,0.31,0.26,0.18,142,4,399,0%,12.50%,0,1
Tomo,,18,50%,4.6,3.2,1.9,5.8,8.8,417,70.40%,30.5,724,1.12,0.4,0.3,0.14,-160,-7,159,38.90%,16.70%,0,-
UmTi,,12,58.30%,3,1.8,3.2,7.7,5.7,334,70%,13.8,343,1.5,0.31,0.34,0.28,-198,-10,-404,16.70%,16.70%,0,-
Vulcan,,8,25%,2.2,0.4,3.1,6.4,0.9,226,69.30%,8.8,176,3.21,1.6,0.34,0.42,-22,-5,64,25%,0%,0,-
Yeon,,12,58.30%,4.5,4.1,2.1,5.3,9.1,431,60.60%,27.4,682,1.24,0.39,0.32,0.2,418,2,53,33.30%,0%,0,2
Zven,,13,38.50%,3.4,3.9,2.6,4.8,9.1,418,75%,27.3,675,1.11,0.36,0.27,0.08,-73,7,-385,23.10%,7.70%,0,-
jojopyun,,8,25%,2,2.4,3,3.5,9.1,396,58.50%,28.7,628,1.39,0.5,0.28,0.17,126,12,408,25%,25%,0,2